,Account Status,Months,Credit History,Purpose,Credit Amount,Savings,Employment,Installment Rate,Personal Status,Guarantors,Residence,Property,Age,Other Installments,Housing,Credit Cards,Job,Dependents,Phone,Foreign Worker,Credit Rating
36,3,48,4,5,6110,0,2,1,2,0,3,3,31,0,2,1,2,1,91,0,0
37,2,18,2,2,2100,0,2,4,2,1,2,0,37,1,1,1,2,1,90,0,1
38,2,10,2,3,1225,0,2,2,2,0,2,2,37,2,1,1,2,1,91,0,0
39,1,9,2,2,458,0,2,4,2,0,3,0,24,2,1,1,2,1,90,0,0
40,3,30,2,2,2333,2,4,4,2,0,2,2,30,0,1,1,3,1,90,0,0
41,1,12,2,2,1158,2,2,3,0,0,1,2,26,2,1,1,2,1,91,0,0
42,1,18,3,4,6204,0,2,2,2,0,4,0,44,2,1,1,1,2,91,0,0
43,0,30,4,0,6187,1,3,1,3,0,4,2,24,2,0,2,2,1,90,0,0
44,0,48,4,0,6143,0,4,4,1,0,4,3,58,1,2,2,1,1,90,0,1
45,3,11,4,-1,1393,0,1,4,1,0,4,2,35,2,1,2,3,1,90,0,0
46,3,36,2,2,2299,2,4,4,2,0,4,2,39,2,1,1,2,1,90,0,0
47,0,6,2,0,1352,2,0,1,1,0,2,1,23,2,0,1,0,1,91,0,0
48,3,11,4,-1,7228,0,2,1,2,0,4,1,39,2,1,2,1,1,90,0,0
49,3,12,2,2,2073,1,2,4,1,1,2,0,28,2,1,1,2,1,90,0,0
50,1,24,3,1,2333,4,1,4,2,0,2,1,29,0,1,1,1,1,90,0,0
51,1,27,3,0,5965,0,4,1,2,0,2,2,30,2,1,2,3,1,91,0,0
52,3,12,2,2,1262,0,2,3,2,0,2,2,25,2,1,1,2,1,90,0,0
53,3,18,2,0,3378,4,2,2,2,0,1,1,31,2,1,1,2,1,91,0,0
54,1,36,3,-1,2225,0,4,4,2,0,4,3,57,0,2,2,2,1,91,0,1
55,3,6,1,-1,783,4,2,1,2,2,2,0,26,1,1,1,1,2,90,0,0
56,1,12,2,2,6468,4,0,2,2,0,1,3,52,2,1,1,3,1,91,0,1
57,3,36,4,2,9566,0,2,2,1,0,2,2,31,1,1,2,2,1,90,0,0
58,2,18,2,-1,1961,0,4,3,1,0,2,2,23,2,1,1,3,1,90,0,0
59,0,36,4,1,6229,0,1,4,1,1,4,3,23,2,0,2,1,1,91,0,1
60,1,9,2,8,1391,0,2,2,3,0,1,0,27,0,1,1,2,1,91,0,0
61,1,15,4,2,1537,4,4,4,2,2,4,0,50,2,1,2,2,1,91,0,0
62,1,36,0,8,1953,0,4,4,2,0,4,3,61,2,2,1,3,1,91,0,1
63,1,48,0,8,14421,0,2,2,2,0,2,2,25,2,1,1,2,1,91,0,1
64,3,24,2,2,3181,0,1,4,1,0,4,1,26,2,1,1,2,1,91,0,0
65,3,27,2,4,5190,4,4,4,2,0,4,1,48,2,1,4,2,2,91,0,0
66,3,12,2,2,2171,0,1,2,1,0,2,2,29,0,1,1,2,1,90,0,0
67,1,12,2,-1,1007,3,2,4,3,0,1,0,22,2,1,1,2,1,90,0,0
68,3,36,2,5,1819,0,2,4,2,0,4,3,37,1,2,1,2,1,91,0,1
69,3,36,2,2,2394,4,2,4,1,0,4,2,25,2,1,1,2,1,90,0,0
70,3,36,2,0,8133,0,2,1,1,0,2,1,30,0,1,1,2,1,90,0,0
71,3,7,4,2,730,4,4,4,2,0,2,1,46,2,0,2,1,1,91,0,0
72,0,8,4,9,1164,0,4,3,2,0,4,3,51,0,2,2,3,2,91,0,0
73,1,42,4,8,5954,0,3,2,1,0,1,0,41,0,1,2,1,1,90,0,0
74,0,36,2,5,1977,4,4,4,2,0,4,3,40,2,1,1,3,1,91,0,1
75,0,12,4,0,1526,0,4,4,2,0,4,3,66,2,2,2,3,1,90,0,0
76,0,42,2,2,3965,0,1,4,2,0,3,2,34,2,1,1,2,1,90,0,1
77,1,11,3,2,4771,0,3,2,2,0,4,1,51,2,1,1,2,1,90,0,0
78,3,54,0,0,9436,4,2,2,2,0,2,1,39,2,1,1,1,2,90,0,0
79,1,30,2,1,3832,0,1,2,3,0,1,1,22,2,1,1,2,1,90,0,0
80,3,24,2,2,5943,4,1,1,1,0,1,2,44,2,1,2,2,1,91,0,1
81,3,15,2,2,1213,2,4,4,2,0,3,1,47,1,1,1,2,1,91,0,0
82,3,18,2,8,1568,1,2,3,1,0,4,1,24,2,0,1,1,1,90,0,0
83,0,24,2,9,1755,0,4,4,1,2,4,0,58,2,1,1,1,1,91,0,0
84,0,10,2,2,2315,0,4,3,2,0,4,0,52,2,1,1,1,1,90,0,0
85,3,12,4,8,1412,0,2,4,1,2,2,0,29,2,1,2,3,1,91,0,0
86,1,18,4,1,1295,0,1,4,1,0,1,1,27,2,1,2,2,1,90,0,0
87,1,36,2,5,12612,1,2,1,2,0,4,3,47,2,2,1,2,2,91,0,1
88,0,18,2,-1,2249,1,3,4,2,0,3,2,30,2,1,1,3,2,91,0,0
89,0,12,0,4,1108,0,3,4,2,0,3,0,28,2,1,2,2,1,90,0,1
90,3,12,4,2,618,0,4,4,2,0,4,0,56,2,1,1,2,1,90,0,0
91,0,12,4,0,1409,0,4,4,2,0,3,0,54,2,1,1,2,1,90,0,0
92,3,12,4,2,797,4,4,4,1,0,3,1,33,0,1,1,1,2,90,0,1
93,2,24,4,1,3617,4,4,4,2,1,4,3,20,2,0,2,2,1,90,0,0
94,1,12,2,-1,1318,3,4,4,2,0,4,0,54,2,1,1,2,1,91,0,0
95,1,54,0,8,15945,0,1,3,2,0,4,3,58,2,0,1,2,1,91,0,1
96,3,12,4,5,2012,4,3,4,1,0,2,2,61,2,1,1,2,1,90,0,0
97,1,18,2,8,2622,1,2,4,2,0,4,2,34,2,1,1,2,1,90,0,0
98,1,36,4,2,2337,0,4,4,2,0,4,0,36,2,1,1,2,1,90,0,0
99,1,20,3,0,7057,4,3,3,2,0,4,1,36,0,0,2,3,2,91,0,0
100,3,24,2,-1,1469,1,4,4,3,0,4,0,41,2,0,1,1,1,90,0,0
101,1,36,2,2,2323,0,3,4,2,0,4,2,24,2,0,1,2,1,90,0,0
102,3,6,3,2,932,0,2,3,1,0,2,0,24,2,1,1,2,1,90,0,0
103,1,9,4,1,1919,0,3,4,2,0,3,2,35,2,0,1,2,1,91,0,0
104,3,12,2,0,2445,4,1,2,3,0,4,2,26,2,0,1,2,1,91,0,0
105,1,24,4,9,11938,0,2,2,2,1,3,2,39,2,1,2,3,2,91,0,1
106,3,18,1,-1,6458,0,4,2,2,0,4,3,39,0,1,2,3,2,91,0,1
107,1,12,2,-1,6078,0,3,2,2,0,2,2,32,2,1,1,2,1,90,0,0
108,0,24,2,1,7721,4,1,1,1,0,2,1,30,2,1,1,2,1,91,1,0
109,1,14,2,8,1410,2,4,1,3,0,2,0,35,2,1,1,2,1,91,0,0
110,1,6,3,8,1449,1,4,1,0,0,2,2,31,0,1,2,2,2,90,0,0
111,2,15,2,5,392,0,1,4,1,0,4,1,23,2,0,1,2,1,91,0,0
112,1,18,2,-1,6260,0,3,3,2,0,3,0,28,2,0,1,1,1,90,0,0
113,3,36,4,-1,7855,0,2,4,1,0,2,0,25,1,1,2,2,1,91,0,1
114,0,12,2,2,1680,2,4,3,3,0,1,0,35,2,1,1,2,1,90,0,0
115,3,48,4,2,3578,4,4,4,2,0,1,0,47,2,1,1,2,1,91,0,0
116,0,42,2,2,7174,4,3,4,1,0,3,2,30,2,1,1,3,1,91,0,1
117,0,10,4,1,2132,4,1,2,1,1,3,0,27,2,0,2,2,1,90,1,0
118,0,33,4,1,4281,2,2,1,1,0,4,2,23,2,1,2,2,1,90,0,1
119,1,12,4,-1,2366,2,3,3,0,0,3,2,36,2,1,1,3,1,91,0,0
120,0,21,2,2,1835,0,2,3,1,0,2,0,25,2,1,2,2,1,91,0,1
121,3,24,4,0,3868,0,4,4,1,0,2,2,41,2,0,2,3,1,91,0,0
122,3,12,2,1,1768,0,2,3,2,0,2,0,24,2,0,1,1,1,90,0,0
123,2,10,4,-1,781,0,4,4,2,0,4,3,63,2,2,2,2,1,91,0,0
124,1,18,2,1,1924,4,1,4,1,0,3,0,27,2,0,1,2,1,90,0,1
125,0,12,4,-1,2121,0,2,4,2,0,2,1,30,2,1,2,2,1,90,0,0
126,0,12,2,2,701,0,2,4,3,0,2,0,40,2,1,1,1,1,90,0,0
127,1,12,2,4,639,0,2,4,2,0,2,2,30,2,1,1,2,1,90,0,1
128,1,12,4,0,1860,0,0,4,2,0,2,2,34,2,1,2,3,1,91,0,0
129,0,12,4,-1,3499,0,2,3,1,1,2,0,29,2,1,2,2,1,90,0,1
130,1,48,2,-1,8487,4,3,1,1,0,2,2,24,2,1,1,2,1,90,0,0
131,0,36,3,5,6887,0,2,4,2,0,3,1,29,1,1,1,2,1,91,0,1
132,3,15,2,1,2708,0,1,2,2,0,3,1,27,0,1,2,1,1,90,0,0
133,3,18,2,1,1984,0,2,4,2,0,4,3,47,0,2,2,2,1,90,0,0
134,3,60,2,2,10144,1,3,2,1,0,4,0,21,2,1,1,2,1,91,0,0
135,3,12,4,2,1240,4,4,4,1,0,2,0,38,2,1,2,2,1,91,0,0
136,3,27,3,0,8613,3,2,2,2,0,2,2,27,2,1,2,2,1,90,0,0
137,1,12,2,2,766,2,2,4,2,0,3,0,66,2,1,1,1,1,90,0,1
138,1,15,4,2,2728,4,3,4,2,2,2,0,35,0,1,3,2,1,91,0,0
139,2,12,2,2,1881,0,2,2,1,0,2,2,44,2,0,1,1,1,91,0,0
140,2,6,2,-1,709,3,1,2,3,0,2,0,27,2,1,1,0,1,90,1,0
141,1,36,2,2,4795,0,1,4,1,0,1,3,30,2,1,1,3,1,91,0,0
142,0,27,2,2,3416,0,2,3,2,0,2,2,27,2,1,1,3,1,90,0,0
143,0,18,2,1,2462,0,2,2,2,0,2,2,22,2,1,1,2,1,90,0,1
144,3,21,4,1,2288,0,1,4,1,0,4,1,23,2,1,1,2,1,91,0,0
145,1,48,1,8,3566,1,3,4,2,0,2,2,30,2,1,1,2,1,90,0,0
146,0,6,4,-1,860,0,4,1,1,0,4,3,39,2,1,2,2,1,91,0,0
147,3,12,4,-1,682,1,3,4,1,0,3,2,51,2,1,2,2,1,91,0,0
148,0,36,4,1,5371,0,2,3,2,2,2,1,28,2,1,2,2,1,90,0,0
149,3,18,4,2,1582,3,4,4,2,0,4,2,46,2,1,2,2,1,90,0,0
150,3,6,2,2,1346,1,4,2,2,0,4,3,42,0,2,1,2,2,91,0,0
151,3,10,2,2,1924,0,2,1,2,0,4,1,38,2,1,1,2,1,91,1,0
152,2,36,2,2,5848,0,2,4,2,0,1,2,24,2,1,1,2,1,90,0,0
153,1,24,4,0,7758,3,4,2,1,0,4,3,29,2,0,1,2,1,90,0,0
154,1,24,3,8,6967,1,3,4,2,0,4,2,36,2,0,1,3,1,91,0,0
155,0,12,2,1,1282,0,2,2,1,0,4,2,20,2,0,1,2,1,90,0,1
156,0,9,4,4,1288,1,4,3,2,2,4,0,48,2,1,2,2,2,90,1,0
157,0,12,1,7,339,0,4,4,3,0,1,2,45,0,1,1,1,1,90,0,0
158,1,24,2,-1,3512,1,3,2,2,0,3,2,38,0,1,2,2,1,91,0,0
159,3,6,4,2,1898,4,2,1,2,0,2,0,34,2,1,2,1,2,90,0,0
160,3,24,4,2,2872,1,4,3,2,0,4,0,36,2,1,1,2,2,91,0,0
161,3,18,4,-1,1055,0,1,4,1,0,1,1,30,2,1,2,2,1,90,0,0
162,3,15,2,3,1262,2,3,4,2,0,3,1,36,2,1,2,2,1,91,0,0
163,1,10,2,-1,7308,0,0,2,2,0,4,3,70,0,2,1,3,1,91,0,0
164,3,36,2,-1,909,2,4,4,2,0,4,1,36,2,1,1,2,1,90,0,0
165,3,6,2,1,2978,2,2,1,2,0,2,2,32,2,1,1,2,1,91,0,0
166,0,18,2,1,1131,0,0,4,1,0,2,2,33,2,1,1,2,1,90,0,1
167,1,11,2,1,1577,3,1,4,1,0,1,0,20,2,1,1,2,1,90,0,0
168,3,24,2,1,3972,0,3,2,1,0,4,1,25,2,0,1,2,1,91,0,0
169,1,24,4,8,1935,0,4,4,0,0,4,0,31,2,1,2,2,1,91,0,1
170,0,15,0,-1,950,0,4,4,2,0,3,2,33,2,0,2,2,2,90,0,1
171,3,12,2,1,763,0,2,4,1,0,1,0,26,2,1,1,2,1,91,0,0
172,1,24,3,1,2064,0,0,3,1,0,2,1,34,2,1,1,3,1,91,0,1
173,1,8,2,2,1414,0,2,4,2,2,2,0,33,2,1,1,2,1,90,1,0
174,0,21,3,5,3414,0,1,2,2,0,1,1,26,2,1,2,2,1,90,0,1
175,3,30,1,0,7485,4,0,4,1,0,1,0,53,0,1,1,3,1,91,0,1
176,0,12,2,1,2577,0,2,2,0,0,1,2,42,2,1,1,2,1,90,0,0
177,0,6,4,2,338,2,4,4,2,0,4,2,52,2,1,2,2,1,90,0,0
178,3,12,2,2,1963,0,3,4,2,0,2,2,31,2,0,2,3,2,91,0,0
179,0,21,4,-1,571,0,4,4,2,0,4,0,65,2,1,2,2,1,90,0,0
180,3,36,3,8,9572,0,1,1,0,0,1,2,28,2,1,2,2,1,90,0,1
181,1,36,3,8,4455,0,2,2,0,0,2,0,30,1,1,2,3,1,91,0,1
182,0,21,1,-1,1647,4,2,4,2,0,2,1,40,2,1,2,1,2,90,0,1
183,3,24,4,1,3777,3,2,4,2,0,4,0,50,2,1,1,2,1,91,0,0
184,1,18,4,-1,884,0,4,4,2,0,4,2,36,0,1,1,2,2,91,0,1
185,3,15,4,2,1360,0,2,4,2,0,2,1,31,2,1,2,2,1,90,0,0
186,1,9,1,0,5129,0,4,2,1,0,4,3,74,0,2,1,3,2,91,0,1
187,1,16,4,-1,1175,0,0,2,2,0,3,2,68,2,2,3,0,1,91,0,0
188,0,12,2,2,674,1,3,4,3,0,1,1,20,2,1,1,2,1,90,0,1
189,1,18,0,1,3244,0,2,1,1,0,4,2,33,0,1,2,2,1,91,0,0
190,3,24,2,8,4591,3,2,2,2,0,3,1,54,2,1,3,3,1,91,0,1
191,1,48,0,8,3844,1,3,4,2,0,4,3,34,2,2,1,1,2,90,0,1
192,1,27,2,8,3915,0,2,4,2,0,2,2,36,2,1,1,2,2,91,0,1
193,3,6,2,2,2108,0,3,2,3,0,2,0,29,2,0,1,2,1,90,0,0
194,1,45,2,2,3031,1,2,4,2,2,4,1,21,2,0,1,2,1,90,0,1
195,1,9,4,5,1501,0,4,2,1,0,3,2,34,2,1,2,3,1,91,0,1
196,3,6,4,2,1382,0,2,1,1,0,1,2,28,2,1,2,2,1,91,0,0
197,1,12,2,1,951,1,1,4,1,0,4,2,27,0,0,4,2,1,90,0,1
198,1,24,2,0,2760,4,4,4,2,0,4,3,36,0,2,1,2,1,91,0,0
199,1,18,3,1,4297,0,4,4,0,0,3,3,40,2,1,1,3,1,91,0,1
200,3,9,4,5,936,2,4,4,2,0,2,2,52,2,1,2,2,1,91,0,0
201,0,12,2,-1,1168,0,2,4,3,0,3,0,27,2,1,1,1,1,90,0,0
202,3,27,3,8,5117,0,3,3,2,0,4,2,26,2,1,2,2,1,90,0,0
203,0,12,2,7,902,0,3,4,3,0,4,1,21,2,0,1,2,1,90,0,1
204,3,12,4,-1,1495,0,4,4,2,0,1,0,38,2,1,2,1,2,90,0,0
205,0,30,4,0,10623,0,4,3,2,0,4,3,38,2,2,3,3,2,91,0,0
206,3,12,4,1,1935,0,4,4,2,0,4,0,43,2,1,3,2,1,91,0,0
207,1,12,4,3,1424,0,3,4,2,0,3,1,26,2,1,1,2,1,90,0,0
208,0,24,2,8,6568,0,2,2,3,0,2,2,21,1,1,1,1,1,90,0,0
209,3,12,2,0,1413,3,3,3,2,0,2,1,55,2,1,1,2,1,90,1,0
210,3,9,4,2,3074,4,2,1,2,0,2,0,33,2,1,2,2,2,90,0,0
211,3,36,2,2,3835,4,4,2,1,0,4,0,45,2,1,1,1,1,91,0,0
212,0,27,0,8,5293,0,0,2,2,0,4,1,50,1,1,2,2,1,91,0,1
213,2,30,3,8,1908,0,4,4,2,0,4,0,66,2,1,1,3,1,91,0,1
214,3,36,4,2,3342,4,4,4,2,0,2,2,51,2,1,1,2,1,91,0,0
215,1,6,4,7,932,4,3,1,1,0,3,1,39,2,1,2,1,1,90,0,0
216,0,18,0,8,3104,0,3,3,2,0,1,1,31,0,1,1,2,1,91,0,0
217,2,36,2,2,3913,0,2,2,2,0,2,0,23,2,1,1,2,1,91,0,0
218,0,24,2,1,3021,0,2,2,0,0,2,0,24,2,0,1,1,1,90,0,0
219,3,10,2,-1,1364,0,2,2,1,0,4,2,64,2,1,1,2,1,91,0,0
220,1,12,2,2,625,0,1,4,3,2,1,0,26,0,1,1,1,1,90,0,0
221,0,12,2,5,1200,4,2,4,1,0,4,1,23,0,0,1,2,1,91,0,0
222,3,12,2,2,707,0,2,4,2,0,2,0,30,0,1,2,2,1,90,0,0
223,3,24,3,8,2978,4,2,4,2,0,4,0,32,2,1,2,2,2,91,0,0
224,3,15,2,0,4657,0,2,3,2,0,2,2,30,2,1,1,2,1,91,0,0
225,3,36,0,4,2613,0,2,4,2,0,2,2,27,2,1,2,2,1,90,0,0
226,1,48,2,2,10961,3,3,1,2,1,2,3,27,0,1,2,2,1,91,0,1
227,0,12,2,1,7865,0,4,4,2,0,4,3,53,2,2,1,3,1,91,0,1
228,3,9,2,2,1478,0,3,4,2,0,2,2,22,2,1,1,2,1,90,0,1
229,0,24,2,1,3149,0,1,4,2,0,1,3,22,0,2,1,2,1,90,0,0
230,2,36,2,2,4210,0,2,4,2,0,2,2,26,2,1,1,2,1,90,0,1
231,3,9,2,-1,2507,2,4,2,2,0,4,3,51,2,2,1,1,1,90,0,0
232,3,12,2,2,2141,1,3,3,2,0,1,3,35,2,1,1,2,1,90,0,0
233,1,18,2,2,866,0,2,4,3,2,2,0,25,2,1,1,1,1,90,0,0
234,3,4,4,2,1544,0,3,2,2,0,1,0,42,2,1,3,1,2,90,0,0
235,0,24,2,2,1823,0,0,4,2,0,2,2,30,1,1,1,3,2,90,0,1
236,1,6,2,-1,14555,4,0,1,2,0,2,1,23,2,1,1,0,1,91,0,1
237,1,21,2,8,2767,1,4,4,0,0,2,2,61,0,0,2,1,1,90,0,1
238,3,12,4,2,1291,0,2,4,1,0,2,1,35,2,1,2,2,1,90,0,0
239,0,30,2,2,2522,0,4,1,2,2,3,1,39,2,1,1,2,2,90,0,0
240,0,24,2,-1,915,4,4,4,1,0,2,2,29,0,1,1,2,1,90,0,1
241,3,6,2,2,1595,0,3,3,2,0,2,1,51,2,1,1,2,2,90,0,0
242,0,48,0,0,4605,0,4,3,2,0,4,3,24,2,2,2,2,2,90,0,1
243,3,12,4,8,1185,0,2,3,1,0,2,0,27,2,1,2,2,1,90,0,0
244,3,12,1,7,3447,2,2,4,1,0,3,0,35,2,1,1,1,2,90,0,0
245,3,24,2,8,1258,0,3,4,2,0,1,0,25,2,1,1,2,1,91,0,0
246,3,12,4,2,717,0,4,4,2,0,4,0,52,2,1,3,2,1,90,0,0
247,3,6,0,-1,1204,1,2,4,2,0,1,3,35,0,0,1,2,1,90,1,0
248,2,24,2,1,1925,0,2,2,2,0,2,0,26,2,1,1,2,1,90,0,0
249,3,18,2,2,433,0,0,3,1,1,4,0,22,2,0,1,2,1,90,0,1
250,0,6,4,-1,666,3,3,3,1,0,4,0,39,2,1,2,1,1,91,0,0
251,2,12,2,1,2251,0,2,1,1,0,2,2,46,2,1,1,1,1,90,0,0
252,1,30,2,-1,2150,0,2,4,1,2,2,3,24,0,1,1,2,1,90,0,1
253,3,24,3,1,4151,1,2,2,2,0,3,1,35,2,1,2,2,1,90,0,0
254,1,9,2,1,2030,4,3,2,2,0,1,2,24,2,1,1,2,1,91,0,0
255,1,60,3,2,7418,4,2,1,2,0,1,0,27,2,1,1,1,1,90,0,0
256,3,24,4,2,2684,0,2,4,2,0,2,0,35,2,1,2,1,1,90,0,0
257,0,12,1,2,2149,0,2,4,0,0,1,3,29,2,2,1,2,1,90,0,1
258,3,15,2,0,3812,1,1,1,1,0,4,2,23,2,1,1,2,1,91,0,0
259,3,11,4,2,1154,1,0,4,1,0,4,0,57,2,1,3,1,1,90,0,0
260,0,12,2,1,1657,0,2,2,2,0,2,0,27,2,1,1,2,1,90,0,0
261,0,24,2,2,1603,0,4,4,1,0,4,2,55,2,1,1,2,1,90,0,0
262,0,18,4,-1,5302,0,4,2,2,0,4,3,36,2,2,3,3,1,91,0,0
263,3,12,4,5,2748,0,4,2,1,0,4,3,57,0,2,3,1,1,90,0,0
264,3,10,4,-1,1231,0,4,3,2,0,4,0,32,2,1,2,1,2,90,1,0
265,1,15,2,2,802,0,4,4,2,0,3,2,37,2,1,1,2,2,90,0,1
266,3,36,4,8,6304,4,4,4,2,0,4,0,36,2,1,2,2,1,90,0,0
267,3,24,2,2,1533,0,1,4,1,0,3,2,38,1,1,1,2,1,91,0,0
268,0,14,2,-1,8978,0,4,1,0,0,4,1,45,2,1,1,3,1,91,1,1
269,3,24,2,2,999,4,4,4,2,0,2,2,25,2,1,2,2,1,90,0,0
270,3,18,2,-1,2662,4,3,4,2,0,3,1,32,2,1,1,2,1,90,1,0
271,3,12,4,1,1402,2,3,3,1,0,4,2,37,2,0,1,2,1,91,0,0
272,1,48,1,-1,12169,4,0,4,2,1,4,3,36,2,2,1,3,1,91,0,0
273,1,48,2,2,3060,0,3,4,2,0,4,0,28,2,1,2,2,1,90,0,1
274,0,30,2,4,11998,0,1,1,0,0,1,3,34,2,1,1,1,1,91,0,1
275,3,9,2,2,2697,0,2,1,2,0,2,0,32,2,1,1,2,2,90,0,0
276,3,18,4,2,2404,0,2,2,1,0,2,2,26,2,1,2,2,1,90,0,0
277,0,12,2,1,1262,4,4,2,0,0,4,1,49,2,1,1,1,1,91,0,0
278,3,6,2,1,4611,0,1,1,1,0,4,1,32,2,1,1,2,1,90,0,1
279,3,24,2,2,1901,1,2,4,2,0,4,2,29,2,0,1,3,1,91,0,0
280,3,15,4,0,3368,3,4,3,2,0,4,3,23,2,0,2,2,1,91,0,0
281,3,12,2,1,1574,0,2,4,2,0,2,0,50,2,1,1,2,1,90,0,0
282,2,18,1,2,1445,4,3,4,2,0,4,2,49,0,1,1,1,1,90,0,0
283,3,15,4,1,1520,4,4,4,2,0,4,1,63,2,1,1,2,1,90,0,0
284,1,24,4,-1,3878,1,1,4,0,0,2,2,37,2,1,1,2,1,91,0,0
285,0,47,2,-1,10722,0,1,1,1,0,1,0,35,2,1,1,1,1,91,0,0
286,0,48,2,0,4788,0,3,4,2,0,3,1,26,2,1,1,2,2,90,0,0
287,1,48,3,9,7582,1,0,2,2,0,4,3,31,2,2,1,3,1,91,0,0
288,1,12,2,2,1092,0,2,4,1,2,4,0,49,2,1,2,2,1,91,0,0
289,0,24,3,2,1024,0,1,4,3,0,4,0,48,1,1,1,2,1,90,0,1
290,3,12,2,8,1076,0,2,2,3,0,2,0,26,2,1,1,2,1,91,1,0
291,1,36,2,0,9398,0,1,1,3,0,4,2,28,2,0,1,3,1,91,0,1
292,0,24,4,0,6419,0,4,2,1,0,4,3,44,2,2,2,3,2,91,0,0
293,2,42,4,0,4796,0,4,4,2,0,4,3,56,2,2,1,2,1,90,0,0
294,3,48,4,8,7629,4,4,4,0,0,2,2,46,0,1,2,3,2,90,0,0
295,1,48,2,1,9960,0,1,1,1,0,2,2,26,2,1,1,2,1,91,0,1
296,3,12,2,0,4675,4,1,1,1,0,4,2,20,2,0,1,2,1,90,0,0
297,3,10,2,-1,1287,4,4,4,2,1,2,1,45,2,1,1,1,1,90,1,0
298,3,18,2,1,2515,0,2,3,2,0,4,0,43,2,1,1,2,1,91,0,0
299,1,21,4,1,2745,3,3,3,2,0,2,2,32,2,1,2,2,1,91,0,0
300,3,6,2,-1,672,0,0,1,1,0,4,0,54,2,1,1,0,1,91,0,0
301,1,36,0,2,3804,0,2,4,1,0,1,2,42,2,1,1,2,1,91,0,1
302,2,24,4,-1,1344,4,3,4,2,0,2,0,37,0,1,2,1,2,90,0,1
303,0,10,4,-1,1038,0,3,4,2,1,3,1,49,2,1,2,2,1,91,0,0
304,3,48,4,-1,10127,2,2,2,2,0,2,3,44,0,2,1,2,1,90,0,1
